Date : 2025-03-03 18:08:57
Directory : /home/sentry/Wolf-Moon/src
Total : 221 files,  31635 codes, 9757 comments, 6946 blanks, all 48338 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C++              |        176 |     29,245 |      9,349 |      6,343 |     44,937 |
| Markdown         |          7 |        637 |          0 |        217 |        854 |
| reStructuredText |          2 |        481 |          3 |         82 |        566 |
| Python           |         11 |        473 |        335 |        162 |        970 |
| XML              |         13 |        401 |         49 |         89 |        539 |
| JSON             |          3 |        157 |          0 |          6 |        163 |
| CMake            |          4 |        124 |          0 |         19 |        143 |
| YAML             |          4 |         66 |         12 |         17 |         95 |
| Shell Script     |          1 |         51 |          9 |         11 |         71 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                     |        221 |     31,635 |      9,757 |      6,946 |     48,338 |
| auto_aim_interfaces                                                                                   |          2 |         70 |          0 |          8 |         78 |
| cv_bridge                                                                                             |         24 |      2,680 |        870 |        565 |      4,115 |
| cv_bridge (Files)                                                                                     |          3 |        546 |          0 |        109 |        655 |
| cv_bridge/doc                                                                                         |          2 |         27 |        133 |         61 |        221 |
| cv_bridge/include                                                                                     |          2 |        269 |        234 |         45 |        548 |
| cv_bridge/include/cv_bridge                                                                           |          2 |        269 |        234 |         45 |        548 |
| cv_bridge/python                                                                                      |          2 |        115 |        143 |         36 |        294 |
| cv_bridge/python/cv_bridge                                                                            |          2 |        115 |        143 |         36 |        294 |
| cv_bridge/src                                                                                         |          7 |      1,314 |        277 |        222 |      1,813 |
| cv_bridge/test                                                                                        |          8 |        409 |         83 |         92 |        584 |
| lidar_navigation                                                                                      |        100 |     11,585 |      4,176 |      3,092 |     18,853 |
| lidar_navigation/OCTOMAP                                                                              |         85 |      9,209 |      4,063 |      2,733 |     16,005 |
| lidar_navigation/OCTOMAP (Files)                                                                      |          2 |        106 |         16 |         18 |        140 |
| lidar_navigation/OCTOMAP/assets                                                                       |          4 |         69 |         12 |         23 |        104 |
| lidar_navigation/OCTOMAP/octomap                                                                      |         75 |      8,345 |      3,936 |      2,586 |     14,867 |
| lidar_navigation/OCTOMAP/octomap (Files)                                                              |          3 |        124 |        104 |         78 |        306 |
| lidar_navigation/OCTOMAP/octomap/CMakeModules                                                         |          3 |        110 |          0 |         16 |        126 |
| lidar_navigation/OCTOMAP/octomap/include                                                              |         32 |      3,906 |      2,663 |      1,303 |      7,872 |
| lidar_navigation/OCTOMAP/octomap/include/octomap                                                      |         32 |      3,906 |      2,663 |      1,303 |      7,872 |
| lidar_navigation/OCTOMAP/octomap/include/octomap (Files)                                              |         28 |      3,603 |      2,301 |      1,173 |      7,077 |
| lidar_navigation/OCTOMAP/octomap/include/octomap/math                                                 |          4 |        303 |        362 |        130 |        795 |
